,roomid,dust,temperature,humidity,co2
333,213,49.0,23.134751,69.488556,600.0
334,213,43.0,23.016775,69.44278,670.0
335,213,49.0,22.973875,68.458588,604.0
336,213,49.0,22.995325,69.030792,604.0
337,213,50.0,22.995325,68.672211,622.0
338,213,51.0,22.995325,69.549591,600.0
339,213,47.0,22.973875,69.22152700000001,610.0
340,213,47.0,22.9846,68.61880500000001,619.0
341,214,36.0,23.0704,68.870575,622.0
342,214,37.0,23.0704,68.954498,611.0
343,214,37.0,23.124026,69.503815,611.0
344,214,37.0,23.134751,69.870026,621.0
345,214,38.0,23.124026,69.458038,611.0
346,214,38.0,23.124026,69.526703,626.0
347,214,37.0,23.124026,69.40463299999999,614.0
348,214,36.0,23.145476000000002,70.05313100000001,617.0
349,214,38.0,23.081125,68.611176,616.0
350,214,37.0,23.124026,69.587738,607.0
351,214,38.0,23.091851000000002,68.695099,610.0
352,214,39.0,23.102576000000003,69.587738,602.0
353,214,35.0,23.124026,69.824249,625.0
354,214,37.0,23.091851000000002,68.565399,609.0
355,214,39.0,23.102576000000003,68.756134,610.0
356,214,38.0,23.081125,68.511993,622.0
357,214,36.0,23.124026,69.51907299999999,612.0
358,214,37.0,23.081125,69.091827,614.0
359,214,36.0,23.113301,69.953949,614.0
360,214,38.0,23.124026,69.427521,606.0
361,214,38.0,23.102576000000003,68.466217,600.0
362,214,38.0,23.081125,69.01553299999999,616.0
363,214,36.0,23.113301,69.602997,632.0
364,214,36.0,23.091851000000002,69.252045,612.0
365,214,37.0,23.081125,69.14523299999999,616.0
366,214,36.0,23.091851000000002,69.374115,608.0
367,214,36.0,23.091851000000002,69.450409,618.0
368,214,35.0,23.113301,69.831879,611.0
369,214,37.0,23.134751,69.503815,614.0
370,214,37.0,23.091851000000002,69.198639,616.0
371,214,35.0,23.113301,69.831879,626.0
372,215,52.0,22.394719,70.06076,608.0
373,215,51.0,22.383994,70.365936,611.0
374,215,52.0,22.394719,70.20571899999999,606.0
375,215,48.0,22.512695,71.067841,627.0
376,215,50.0,22.448345,70.87710600000001,640.0
377,215,47.0,22.512695,70.869476,622.0
378,215,54.0,22.394719,69.976837,610.0
379,215,52.0,22.383994,70.44986,616.0
380,215,49.0,22.426895000000002,70.892365,640.0
381,215,50.0,22.405444,70.869476,626.0
382,215,55.0,22.394719,70.106537,614.0
383,215,53.0,22.383994,70.030243,616.0
384,215,48.0,22.480520000000002,70.96865799999999,624.0
385,215,54.0,22.373269,70.51089499999999,610.0
386,215,50.0,22.405444,70.602448,624.0
387,215,56.0,22.383994,69.953949,610.0
388,215,50.0,22.394719,70.70163000000001,614.0
389,215,48.0,22.512695,70.915253,623.0
390,215,47.0,22.426895000000002,70.89999399999999,640.0
391,215,48.0,22.512695,70.9534,627.0
392,215,49.0,22.45907,70.861847,633.0
393,215,51.0,22.383994,70.57193000000001,609.0
394,215,52.0,22.405444,70.70163000000001,618.0
395,215,49.0,22.491245000000003,70.846588,637.0
396,215,51.0,22.383994,70.282013,611.0
397,215,50.0,22.45907,70.846588,632.0
398,215,48.0,22.405444,70.87710600000001,638.0
399,215,51.0,22.416169,70.915253,629.0
400,215,50.0,22.437620000000003,70.892365,635.0
401,215,54.0,22.383994,70.388824,617.0
402,215,53.0,22.405444,70.846588,622.0
403,216,49.0,22.373269,71.769745,641.0
404,216,56.0,22.266018,71.35775799999999,602.0
405,216,53.0,22.448345,71.907074,625.0
406,216,56.0,22.266018,71.586639,623.0
407,216,52.0,22.266018,71.83078,617.0
408,216,50.0,22.437620000000003,71.80789200000001,650.0
409,216,57.0,22.266018,70.831329,626.0
410,216,53.0,22.266018,71.723969,638.0
411,216,51.0,22.308918,71.899445,644.0
412,216,56.0,22.266018,71.510345,617.0
413,216,52.0,22.448345,71.853668,635.0
414,216,49.0,22.437620000000003,71.67819200000001,644.0
415,216,57.0,22.266018,70.556671,613.0
416,216,51.0,22.437620000000003,72.097809,621.0
417,216,54.0,22.266018,71.655304,621.0
418,216,46.0,22.341094000000002,71.861298,634.0
419,216,58.0,22.266018,70.930511,602.0
420,216,56.0,22.266018,71.41879300000001,617.0
421,216,49.0,22.394719,71.739227,641.0
422,216,58.0,22.266018,71.15939300000001,607.0
423,216,52.0,22.448345,71.823151,632.0
424,216,57.0,22.255292999999998,71.273834,615.0
425,216,53.0,22.448345,71.983368,631.0
426,216,47.0,22.351819,71.846039,633.0
427,216,58.0,22.255292999999998,70.70163000000001,621.0
428,216,60.0,22.276743,71.037323,616.0
429,216,53.0,22.298192999999998,71.94522099999999,616.0
430,216,54.0,22.287468,71.94522099999999,618.0
431,216,51.0,22.448345,71.823151,618.0
432,216,59.0,22.266018,70.587189,600.0
433,216,52.0,22.330369,71.89181500000001,635.0
434,217,55.0,23.499404000000002,68.38229399999999,625.0
435,217,56.0,23.510129,68.38229399999999,648.0
436,217,56.0,23.606655,68.626434,631.0
437,217,59.0,23.520854,66.886932,633.0
438,217,57.0,23.606655,68.534882,625.0
439,217,54.0,23.628104999999998,68.695099,636.0
440,217,62.0,23.499404000000002,67.619354,628.0
441,217,58.0,23.488679,67.878754,619.0
442,217,55.0,23.638831,68.79428100000001,633.0
443,217,60.0,23.520854,66.825897,613.0
444,217,60.0,23.59593,68.435699,648.0
445,217,53.0,23.542305,68.397552,649.0
446,217,60.0,23.510129,67.26840200000001,618.0
447,217,56.0,23.499404000000002,68.443329,639.0
448,217,60.0,23.499404000000002,67.52780200000001,625.0
449,217,56.0,23.606655,68.55776999999999,612.0
450,217,56.0,23.499404000000002,67.42099,623.0
451,217,57.0,23.499404000000002,68.084747,609.0
452,217,55.0,23.499404000000002,68.458588,639.0
453,217,55.0,23.531579999999998,68.412811,651.0
454,217,53.0,23.55303,68.328888,657.0
455,217,59.0,23.488679,67.718536,637.0
456,217,55.0,23.520854,68.389923,648.0
457,217,58.0,23.477954,68.03897099999999,616.0
458,217,60.0,23.510129,67.024261,617.0
459,217,59.0,23.520854,68.389923,600.0
460,217,56.0,23.510129,67.932159,625.0
461,217,61.0,23.499404000000002,67.131073,625.0
462,217,60.0,23.499404000000002,68.22970600000001,600.0
463,217,53.0,23.520854,68.374664,648.0
